Question Title,Question,Tags,Question_User_Id,Answer_User_Id
Bash Script to Create Usernames using AWK,"<p>I am writing a bash script that takes information from a text file called &quot;studentlist.txt&quot; and that text file gets passed to the script through a positional parameter. The text file contains firstname, lastname, and ID number. Using that information, I have to create a username and the username is a combination of First Name Initial, Full Last Name, and Last Four digits of the ID number. Afterwards I have to use the usernames created to delete users from the OS. So far, this what I coded thus far.</p>
<pre><code>#! /bin/bash

studentlist=$1 ### Storing the Positional Parameter into the variable called studentlist

if [ $# != 0 ] ### If a positional parameter does exist, then do the following.
        then
                initial=`cat ${studentlist} | awk {'print $1'} | cut -c1`; ### Print the First Field in Studentlist, which is First Name for us. And we only care about the initial.
                lastname=`cat ${studentlist} | awk {'print $2'}`; ### Print the Entire Last Name.
                id=`cat ${studentlist} | awk {'print $3'} | grep -o '....$'`; ### Print only the Last Four Digits of the Student ID.
                username=&quot;$initial$lastname$id&quot; ### Concatenate all the variables to create the username.
fi

echo $username ### Print to the Screen all usernames created.
</code></pre>
<p>When I run the script, the following shows up on the terminal:</p>
<pre><code>Welcome to the script Remove_Accounts
This script uses utilizes GetOpts, for more information on the script use the flag -h
J O L S K C B EDoe Raborn Gillan Bisram Escudero Espinal Ghamandi Zelma5678 6789 7891 8912 9123 1234 2345 3456
</code></pre>
<p>Which isn't what I want, I only want the full username to show up for which user. For example, the usernames should be showing up as the following:</p>
<pre><code>JDoe5678

ORaborn6789

LGillan7891

SBisram8912

KEscudero9123

CEspinal1234

BGhamandi2345

EZelma3456
</code></pre>
<p>The text file &quot;studentlist.txt&quot;, contains the following information:</p>
<blockquote>
<p>John Doe 12345678</p>
<p>Oswaldo Raborn 23456789</p>
<p>Lesia Gillan 34567891</p>
<p>Sammy Bisram 45678912</p>
<p>Kelvin Escudero 56789123</p>
<p>Cecile Espinal 67891234</p>
<p>Boris Ghamandi 78912345</p>
<p>Evia Zelma 89123456</p>
</blockquote>
<p>Any help would be greatly appreciated. I have been at this for a long but I can't seem to get it to work. Thank you!</p>
","linux,bash,shell,awk,scripting",59261198,59261799
Flutter AnimatedSize works in one direction only,"<p>I have got following code from <a href=""https://medium.com/flutter-community/flutter-working-with-animatedsize-35253ff8f16a"" rel=""noreferrer"">https://medium.com/flutter-community/flutter-working-with-animatedsize-35253ff8f16a</a></p>

<p>it is using AnimatedSize, but animation works only while container is expanding and not while is it shirking. is this the default behavior? I want to animated while both expanding and shriking.</p>

<pre><code>import 'package:flutter/material.dart';

void main() =&gt; runApp(new MyApp());

class MyApp extends StatelessWidget {
  @override
  Widget build(BuildContext context) {
    return new MaterialApp(
      title: 'Flutter Demo',
      theme: new ThemeData(
        primarySwatch: Colors.blue,
      ),
      home: new MyHomePage(title: 'Flutter Demo Home Page'),
    );
  }
}

class MyHomePage extends StatefulWidget {
  MyHomePage({Key key, this.title}) : super(key: key);
  final String title;

  @override
  _MyHomePageState createState() =&gt; new _MyHomePageState();
}

class _MyHomePageState extends State&lt;MyHomePage&gt; with TickerProviderStateMixin {
  int _counter = 0;

  void _incrementCounter() {
    setState(() {
      _counter++;
    });
  }

  double _height = 80.0;
  double _width = 80.0;
  var _color = Colors.blue;
  bool _resized = false;
  @override
  Widget build(BuildContext context) {
    return new Scaffold(
      body: new Center(
        child: new Column(
          mainAxisAlignment: MainAxisAlignment.center,
          children: &lt;Widget&gt;[
            AnimatedSize(
              curve: Curves.easeIn,
              vsync: this,
              duration: new Duration(seconds: 1),
              child: new GestureDetector(
                onTap: () {
                  setState(() {
                    if (_resized) {
                      _resized = false;
                      _color = Colors.blue;
                      _height = 80.0;
                      _width = 80.0;
                    } else {
                      _resized = true;
                      _color = Colors.blue;
                      _height = 320.0;
                      _width = 320.0;
                    }
                  });
                },
                child: new Container(
                  width: _width,
                  height: _height,
                  color: _color,
                ),
              ),
            ),
          ],
        ),
      ),
    );
  }
}
</code></pre>

<p><a href=""https://i.stack.imgur.com/NAqaw.gif"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/NAqaw.gif"" alt=""enter image description here""></a></p>
","flutter,flutter-animation",59132930,59133346
Can I compile Qt with Emscripten without using Qt for Webassembly?,"<p>As <code>Emscripten</code> can compile most C++ code to webassembly (WASM), I was asking myself what is the point of <code>Qt for Webassembly</code>.
The former will keep the C++ code's license (LGPL), the latter would require to license under the GPL.</p>

<p>Is it technically possible to compile Qt with Emscripten, so I have the freedom to avoid the GPL license? Maybe someone with a deeper understanding of Qt might explain what was required under the hood for the WASM platform support.</p>
","c++,qt,emscripten",59545342,0
Cloud Run error: Container failed to start,"<p>I am failing to get a basic Angular app deploying to Google Cloud Run. The error would suggest it is not being served correctly at port 8080, but running locally on my machine localhost:8080 displays the app. So possibly I need something extra for cloud run, if anybody has some idea?</p>

<p>The details are as follows:</p>

<p>I create a basic angular app</p>

<pre><code>ng new test-app
</code></pre>

<p>The Dockerfile is as follows</p>

<pre><code>FROM node:latest as node
WORKDIR /app
COPY . .

RUN npm install
RUN npm run build --prod

ENV PORT=8080

FROM nginx:latest
COPY --from=node /app/dist/test-app /usr/share/nginx/html
EXPOSE 8080
CMD [""nginx"", ""-g"", ""daemon off;""]
</code></pre>

<p>Locally I run the built container and I can see it at localhost:8080</p>

<pre><code>docker container run -p 8080:80 gcr.io/$GOOGLE_PROJECT/test-app:$IMAGE
</code></pre>

<p><a href=""https://i.stack.imgur.com/pUEc4.png"" rel=""nofollow noreferrer"">screenshot</a></p>

<p>I then deploy to Google Cloud Run managed.</p>

<pre><code>gcloud run deploy test-app --image gcr.io/$GOOGLE_PROJECT/test-app:$IMAGE --platform managed
</code></pre>

<p>However, it fails to start with the error</p>

<pre><code>Cloud Run error: Container failed to start. Failed to start and then listen on the port defined by the PORT environment variable. Logs for this revision might contain more information.
</code></pre>

<p>There are no other errors in the logs.</p>

<p>Thanks.</p>

<p>The solution which worked I took from <a href=""https://stackoverflow.com/questions/47364019/how-to-change-the-port-of-nginx-when-using-with-docker"">How to change the port of nginx when using with docker</a></p>

<p>I created the nginx.conf file, setting the port to 8080 &amp; server to 0.0.0.0</p>

<pre><code># on alpine, copy to /etc/nginx/nginx.conf
user                            root;
worker_processes                auto;

error_log                       /var/log/nginx/error.log warn;

events {
    worker_connections          1024;
}

http {
    include                     /etc/nginx/mime.types;
    default_type                application/octet-stream;
    sendfile                    off;
    access_log                  off;
    keepalive_timeout           3000;
    server {
        listen                  8080;
        root                    /usr/share/nginx/html;
        index                   index.html;
        server_name             0.0.0.0;
        client_max_body_size    16m;
    }
}
</code></pre>

<p>And updated the Dockerfile to copy over this file. </p>

<pre><code>FROM node:latest as node
WORKDIR /app
COPY . .
RUN npm install
RUN npm run build --prod

ENV PORT=8080

FROM nginx:alpine
COPY --from=node /app/dist/streamin-app/ /usr/share/nginx/html/
COPY nginx.conf /etc/nginx/
EXPOSE 8080
CMD [""nginx"", ""-g"", ""daemon off;""]
</code></pre>
","dockerfile,google-cloud-run",59524020,59524363
"Rails 6 sprockets error, cannot find source.coffee file","<p>Upgrading from <code>rails 5.2</code> to <code>rails 6.0.1</code>, I get the following error when loading a page in development mode:</p>

<pre><code>Sprockets::FileNotFound - couldn't find file 'leaders.source.coffee'
Checked in these paths: 
  app/assets/audios
  app/assets/config
  app/assets/images
 ...
</code></pre>

<p>My app/javascripts directory does not have any filed called <code>leaders.source.coffee</code> or any file starting with <code>leaders</code>.  I have searched my code base and I could not find any reference to <code>leaders</code>.</p>

<p>My manifest file is</p>

<pre><code>#app/assets/config/manifest.js is
//= link_tree ../images
//= link_tree ../audios
//= link application.css
//= link application.js
//= link print.css
</code></pre>

<p>How do I fix this?</p>
","ruby-on-rails,sprockets",59338411,59348172
Webots - BoundingObject of Robot becomes null after world reload (how to prevent that?),"<p>I've a Robot node with children = [SolidCylinderJoint]. SolidCylinderJoint is a proto that I created, which defines a DEF node as a field, i.e.,</p>
<pre><code>field SFNode geometry DEF BODY Cylinder {
                height 0.1
                radius 0.05
            }
</code></pre>
<p>Now I USE the BODY DEF node as the boundingObject of the robot, like this:</p>
<p><a href=""https://i.stack.imgur.com/9K0G3.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/9K0G3.png"" alt=""enter image description here"" /></a></p>
<p>Now, this works great, but as soon as I hit &quot;Reload World&quot; or restart webots, the boundingObject becomes NULL again. I think this is happening because the robot node is loaded before the Proto, and at the time it's trying to set the boundingObject to BODY, it doesn't find that definition and hence defaults to NULL.</p>
<p>World file: <a href=""https://pastecode.xyz/view/fab1533d"" rel=""nofollow noreferrer"">https://pastecode.xyz/view/fab1533d</a></p>
<p>Proto file: <a href=""https://pastecode.xyz/view/f558d13c"" rel=""nofollow noreferrer"">https://pastecode.xyz/view/f558d13c</a></p>
","robotics,webots",59476046,59576668
"TypeError: request() got an unexpected keyword argument &#39;header&#39; - when i use header,403 error - without header","<p>i am trying <strong>scrape</strong> information from <a href=""https://www.accuweather.com/en/bd/dhaka/28143/current-weather/28143"" rel=""nofollow noreferrer"">this</a> website but keep getting status code: <strong>403</strong>,
So tried using header but got <strong>TypeError: request() got an unexpected keyword argument 'header'</strong></p>
<p><em><strong>Code:</strong></em></p>
<pre><code>import requests

head = {'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:71.0) Gecko/20100101 Firefox/71.0'}
url = &quot;https://www.accuweather.com/en/bd/dhaka/28143/current-weather/28143&quot;
pageObj = requests.get(url, header = head)
print(&quot;Status code: &quot; + str(pageObj.status_code)) # *for testing purpose*
</code></pre>
<p><em><strong>Error:</strong></em></p>
<pre><code>Traceback (most recent call last):
  File &quot;F:/Python/PyCharm Community Edition 2019.2.3/Workshop/WEB_SCRAPING/test2.py&quot;, line 6, in &lt;module&gt;
    pageObj = requests.get(url, header = head)
  File &quot;F:\Python\PyCharm Community Edition 2019.2.3\Workshop\WEB_SCRAPING\venv\lib\site-packages\requests\api.py&quot;, line 75, in get
    return request('get', url, params=params, **kwargs)
  File &quot;F:\Python\PyCharm Community Edition 2019.2.3\Workshop\WEB_SCRAPING\venv\lib\site-packages\requests\api.py&quot;, line 60, in request
    return session.request(method=method, url=url, **kwargs)
TypeError: request() got an unexpected keyword argument 'header'
</code></pre>
<p><a href=""https://i.stack.imgur.com/UbAcZ.png"" rel=""nofollow noreferrer"">header from firefox dev tool</a></p>
<p>what am i doing wrong?</p>
","python,html,python-requests,http-status-code-403",59491690,59491699
Is there an env var that lets a program know if the user running it has the GUI on the screen in Windows?,"<p>In Windows a user state can be:</p>

<ul>
<li>Logged on</li>
<li>Logged off</li>
<li>Switched off 

<ul>
<li>Let me clarify, this state is the state where the user is still logged in, but another user came and switched to another account; the original users programs and windows are still there and and running, but from the monitor only the Windows from the account that was switched to account appear.</li>
</ul></li>
</ul>

<p>So, is there an Environment Variable in Widnows, that one can check to see if the account running the program is or is not in the ""switched off"" state?</p>
","windows-7,windows-10,environment-variables",59502644,0
Paste into SSH terminal capitalizes last character and doesn&#39;t allow me to edit it,"<p>I'm running Terminal on my Mac and ssh'ing into a Linux host.  I've had 2 issues around copying and pasting text into my Terminal:</p>

<ol>
<li>When I'm just running local Terminal commands on my Mac (not though ssh), I sometimes get weird characters around text that I paste, like <code>00~pastedtext01~</code>.  I googled around and found out that this was apparently due to ""bracketed paste"".  I was able to fix this problem by running the command <code>printf '\e[?2004l'</code> whenever it happens.</li>
<li>When I ssh into my Linux host, when I paste text it will often capitalize the last character of whatever I'm pasting, and the cursor will turn gray and I won't be able to type additional characters or delete characters from whatever I pasted.  My only two options at that point are to either ^C to break onto the next line without running the command, or hit enter and run the messed up command.  It doesn't happen 100% of the time.  If I copy something and then repeatedly paste it into the shell, I'll see this issue occur about 90% of the time.  I have no idea why it's apparently non-deterministic like this.  I thought this might also be due to ""bracketed paste"" issues, but no matter how many times I run the commands <code>printf '\e[?2004l'</code> and <code>set enable-bracketed-paste off</code>, the issue persists.  It even persists when I exit and re-ssh to the host, so I know it's not due to running any program like vim, since the problem still happens even immediately after I've ssh'ed into the host.  Can someone please help???  This is killing my productivity!</li>
</ol>

<p>Here's what a paste with this issue looks like:</p>

<p><a href=""https://i.stack.imgur.com/IZDfK.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/IZDfK.png"" alt=""Paste with issue""></a></p>

<p>I'm aware that other questions have been asked along these lines, like <a href=""https://unix.stackexchange.com/questions/379653/paste-has-odd-behavior-in-shell"">this one</a> from Stack Exchange, but none of the answers on any of these posts have worked for me, so I think my problem may be slightly different than those...</p>
","ssh,terminal,copy-paste,paste",59432647,0
React or Angular SPA in Visual Studio 2019 Docker Compose Problem,"<p>I am using ASP.NET Core 3 with Angular and Docker Windows Container.</p>

<p>I followed as below:</p>

<p><a href=""https://docs.microsoft.com/en-us/visualstudio/containers/container-tools-react?view=vs-2019#modify-the-dockerfile-windows-containers"" rel=""nofollow noreferrer"">https://docs.microsoft.com/en-us/visualstudio/containers/container-tools-react?view=vs-2019#modify-the-dockerfile-windows-containers</a></p>

<p>I have created docker compose and docker file</p>

<p><strong>Dockerfile</strong></p>

<pre><code># escape=`
FROM mcr.microsoft.com/powershell:nanoserver-1903 AS downloadnodejs
SHELL [""pwsh"", ""-Command"", ""$ErrorActionPreference = 'Stop';$ProgressPreference='silentlyContinue';""]
RUN Invoke-WebRequest -OutFile nodejs.zip -UseBasicParsing ""https://nodejs.org/dist/v10.16.3/node-v10.16.3-win-x64.zip""; `
Expand-Archive nodejs.zip -DestinationPath C:\; `
Rename-Item ""C:\node-v10.16.3-win-x64"" c:\nodejs

FROM mcr.microsoft.com/dotnet/core/aspnet:3.0-nanoserver-1903 AS base
WORKDIR /app
EXPOSE 80
COPY --from=downloadnodejs C:\nodejs\ C:\Windows\system32\

FROM mcr.microsoft.com/dotnet/core/sdk:3.0-nanoserver-1903 AS build
COPY --from=downloadnodejs C:\nodejs\ C:\Windows\system32\
WORKDIR /src
COPY [""HardwareResources/HardwareResources.csproj"", ""HardwareResources/""]
RUN dotnet restore ""HardwareResources/HardwareResources.csproj""
COPY . .
WORKDIR ""/src/HardwareResources""
RUN dotnet build ""HardwareResources.csproj"" -c Release -o /app/build

FROM build AS publish
RUN dotnet publish ""HardwareResources.csproj"" -c Release -o /app/publish

FROM base AS final
WORKDIR /app
COPY --from=publish /app/publish .
ENTRYPOINT [""dotnet"", ""HardwareResources.dll""]
</code></pre>

<p><strong>Docker-compose.yml</strong></p>

<pre><code>version: '3.4'

services:
  hardwareresources:
    image: ${DOCKER_REGISTRY-}hardwareresources
    build:
      context: .
      dockerfile: HardwareResources\Dockerfile
</code></pre>

<p>I run Docker compose in VS2019 and I am getting error pop up message and it says:</p>

<p><img src=""https://i.stack.imgur.com/Bxd7r.png"" alt=""enter image description here""></p>

<p>Could you please advise how to resolve this issue?</p>
","angular,docker,asp.net-core,windows-container",59153018,0
