,Question Title,Question,Tags,Question_User_Id,Answer_User_Id,Topic_key_word
0,Pass Parameters to AddHostedService,"<p>I am writing a .Net Core windows service and here is a snippet of code:</p>
<pre><code>internal static class Program
    {
        public static async Task Main(string[] args)
        {
            var isService = !(Debugger.IsAttached || args.Contains(&quot;--console&quot;));

            var builder = new HostBuilder()
                .ConfigureServices((hostContext, services) =&gt;
                {
                    services.AddHostedService&lt;IntegrationService&gt;();
                });

            if (isService)
            {
                await builder.RunAsServiceAsync();
            }
            else
            {
                await builder.RunConsoleAsync();
            }
        }
    } 
</code></pre>
<p>I want to pass some parameters to my service i.e. <code>IntegrationService</code> - how I can send parameters to my service?</p>
","c#,asp.net-core,.net-core,windows-services",57047632,57047889,1
1,How to install ESlint with no npm?,"<p>I am working on enterprise computer with no internet access nor node (npm).
I have downloaded ESlint manually and installed it to VS Code. Now it says that i need to use npm command for it to work, my question is how can i run ESlint globally without npm command/Node? Is it possible?</p>

<p>This what i get:</p>

<p>To use ESLint please install eslint by running npm install eslint in the workspace folder Supreme</p>

<p>or globally using 'npm install -g eslint'. You need to reopen the workspace after installing eslint.</p>

<p>after trying to set it right i get:</p>

<p>PS C:\inetpub\wwwroot\Supreme> eslint --init</p>

<p>eslint : The term 'eslint' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try</p>
","node.js,npm,visual-studio-code,eslint",57075427,0,3
2,Unable to create /path/.git/index.lock : Permission denied,"<p>I have issues using git commands after I did ""git clean -f -X"".  The only commands I can only use ""git status"" and ""git branch"".  I don't have anything that I care to commit since I just started this branch locally.  Any suggestions?  </p>

<p>I have tried to remove ""rm -rf .git/index.lock"" and I even tried ""git reset HEAD^"" but it throws that message of Permission denied. </p>

<p><code>rm -rf .git/index.lock</code>
<code>git reset HEAD^</code></p>

<p>I would like to use all git commands.</p>
",git,57016143,57016154,3
3,How to read Jenkins credentials at Folder level,"<p>I am trying to migrate credentials from Jenkins to another credentials store.  </p>

<p>I want to read the credentials from the Jenkins store, and have found this script (<a href=""https://github.com/tkrzeminski/jenkins-groovy-scripts/blob/master/show-all-credentials.groovy"" rel=""nofollow noreferrer"">https://github.com/tkrzeminski/jenkins-groovy-scripts/blob/master/show-all-credentials.groovy</a></p>

<p>The script does the job OK for SystemCredentialsProvider credentials for the <strong>global domain at root level</strong>.  </p>

<p><strong>But my credentials are stored in a Folder</strong>, so the script does not work for me.  </p>

<p>I am using the Jenkins script console to execute the script.  </p>

<p>If I navigate to the Jenkins Credentials configuration page and hover over the icon for one of my credential entries, the tooltip says ""Folder Credentials Provider"". </p>

<p>==================================================== </p>

<p><strong>Question: How do I read all of the the credentials from a Folder in Jenkins?</strong></p>

<p>====================================================</p>

<p>Please see script, below:</p>

<pre><code>import jenkins.model.*
import com.cloudbees.plugins.credentials.*
import com.cloudbees.plugins.credentials.impl.*
import com.cloudbees.plugins.credentials.domains.*
import com.cloudbees.jenkins.plugins.sshcredentials.impl.BasicSSHUserPrivateKey
import com.cloudbees.jenkins.plugins.awscredentials.AWSCredentialsImpl
import org.jenkinsci.plugins.plaincredentials.StringCredentials
import org.jenkinsci.plugins.plaincredentials.impl.FileCredentialsImpl

def showRow = { credentialType, secretId, username = null, password = null, description = null -&gt;
  println(""${credentialType} : "".padLeft(20) + secretId?.padRight(38)+"" | "" +username?.padRight(20)+"" | "" +password?.padRight(40) + "" | "" +description)
}

// set Credentials domain name (null means is it global)
domainName = null

credentialsStore = Jenkins.instance.getExtensionList('com.cloudbees.plugins.credentials.SystemCredentialsProvider')[0]?.getStore()
domain = new Domain(domainName, null, Collections.&lt;DomainSpecification&gt;emptyList())

credentialsStore?.getCredentials(domain).each{
  if(it instanceof UsernamePasswordCredentialsImpl)
    showRow(""user/password"", it.id, it.username, it.password?.getPlainText(), it.description)
  else if(it instanceof BasicSSHUserPrivateKey)
    showRow(""ssh priv key"", it.id, it.passphrase?.getPlainText(), it.privateKeySource?.getPrivateKey(), it.description)
  else if(it instanceof AWSCredentialsImpl)
    showRow(""aws"", it.id, it.accessKey, it.secretKey?.getPlainText(), it.description)
  else if(it instanceof StringCredentials)
    showRow(""secret text"", it.id, it.secret?.getPlainText(), '', it.description)
  else if(it instanceof FileCredentialsImpl)
    showRow(""secret file"", it.id, it.content?.text, '', it.description)
  else
    showRow(""something else"", it.id, '', '', '')
}

return
</code></pre>
","jenkins,jenkins-pipeline,jenkins-plugins,jenkins-groovy",57107486,0,3
4,This npgsqltransaction has completed it is no longer usable,"<p>Recently we have migrated from MSSQL database to PostgreSQL database. In order to have .NET access to PostgreSQL, we are using the NpgSql ADO.NET provider for PostgreSQL. We are getting the error ""This npgsqltransaction has completed it is no longer usable"" from our applications sometimes. This is a rare situation due to which we are unable to find the exact cause of the issue.</p>

<p>Can someone let me know the cases and causes of this error?</p>

<p>--Kamal</p>
",npgsql,56882917,0,3
5,Is it possible to produce circular (round) shaped radar chart in Chart.js?,"<p>When I plot a standard Chart.js radar chart, the axis is a polygon shape (not round). <a href=""https://www.chartjs.org/samples/latest/charts/area/radar.html"" rel=""nofollow noreferrer"">For example</a>:</p>

<p><a href=""https://i.stack.imgur.com/CkZnV.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/CkZnV.png"" alt=""example of radar area chart with incorrect axis""></a></p>

<p>Is it possible to make the axis round shaped, <a href=""http://bl.ocks.org/nbremer/raw/21746a9668ffdf6d8242/"" rel=""nofollow noreferrer"">like this</a>?:</p>

<p><a href=""https://i.stack.imgur.com/Smn2p.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/Smn2p.png"" alt=""example of radar area chart with correct axis""></a></p>
","javascript,chart.js",57188029,57198398,3
6,How can I profile a Python Dataflow job?,"<p>I've written a Python Dataflow job to process some data:</p>

<pre class=""lang-py prettyprint-override""><code>pipeline
| ""read"" &gt;&gt; beam.io.ReadFromText(known_args.input)  # 9 min 44 sec
| ""parse_line"" &gt;&gt; beam.Map(parse_line)  # 4 min 55 sec
| ""add_key"" &gt;&gt; beam.Map(add_key)  # 48 sec
| ""group_by_key"" &gt;&gt; beam.GroupByKey()  # 11 min 56 sec
| ""map_values"" &gt;&gt; beam.ParDo(MapValuesFn())  # 11 min 40 sec
| ""json_encode"" &gt;&gt; beam.Map(json.dumps)  # 26 sec
| ""output"" &gt;&gt; beam.io.textio.WriteToText(known_args.output)  # 22 sec
</code></pre>

<p>(I have removed business-specific language.)</p>

<p>The input is a 1.36 GiB gz-compressed CSV, yet the job takes 37 min 34 sec to run (I am using Dataflow as I expect the input to grow rapidly in size).</p>

<p>How can I identify the bottle-necks in the pipeline and speed up its execution? None of the individual functions are computationally expensive.</p>

<p>Autoscaling information from the Dataflow console:</p>

<pre><code>12:00:35 PM     Starting a pool of 1 workers. 
12:05:02 PM     Autoscaling: Raised the number of workers to 2 based on the rate of progress in the currently running step(s).
12:10:02 PM     Autoscaling: Reduced the number of workers to 1 based on the rate of progress in the currently running step(s).
12:29:09 PM     Autoscaling: Raised the number of workers to 3 based on the rate of progress in the currently running step(s).
12:35:10 PM     Stopping worker pool.
</code></pre>
","python,google-cloud-dataflow",56932727,0,2
7,Could not find the correct provider above this widget,"<p>I have a problem using Flutter Provider...
My flow is like this: After login user id is passed to new widget -> from there it preforms save to db and then it redirects to new widget (Dashboard).</p>

<p>And this is a code of a widget after Login:</p>

<pre><code>return MaterialApp(
      title: title,
      home: Scaffold(
          appBar: AppBar(
            title: Text(title),
          ),
          body: ListView(
            children: &lt;Widget&gt;[
              Container(
                margin: EdgeInsets.all(8.0),
                child: Card(
                  shape: RoundedRectangleBorder(
                      borderRadius: BorderRadius.all(Radius.circular(8.0))),
                  child: InkWell(
                    onTap: () {
                      var user = Provider.of&lt;UserRepository&gt;(context);
                      user.savePreference(user.user.id, ""Something"");
                      user.navigateToNewPage(Dashboard(), context);
                      print(user.user.id);
                    },
</code></pre>

<p>This works:</p>

<pre><code>user.savePreference(user.user.id, ""Something"");
</code></pre>

<p>But this is causing a problem:</p>

<pre><code>user.navigateToNewPage(Dashboard(), context);
</code></pre>

<p>In Dashboard widget I am creating this:</p>

<pre><code> Widget build(BuildContext context) {
    var user = Provider.of&lt;UserRepository&gt;(context);
</code></pre>

<p>And in UserRepository I have this:</p>

<pre><code>class UserRepository with ChangeNotifier {
  User user;
  Status _status = Status.Uninitialized;

  Status get status =&gt; _status;
  User get getUser =&gt; user;

  UserRepository.instance();

Future&lt;void&gt; navigateToNewPage(Widget page, BuildContext context) {
    Navigator.push(context, MaterialPageRoute(builder: (context) =&gt; page));
  }
</code></pre>

<p>I know this topic has already solved questions, but could not find anything suitable to my problem.</p>
","flutter,dart,flutter-provider",57124258,57124694,1
8,Calculate RSI indicator from pandas DataFrame?,"<h1>My problem</h1>

<p>I tried many libraries on <strong>Github</strong> but all of them did not produce matching results for <strong>TradingView</strong> so I followed the formula on this <a href=""https://school.stockcharts.com/doku.php?id=technical_indicators:relative_strength_index_rsi"" rel=""noreferrer""><strong>link</strong></a> to calculate <strong>RSI</strong> indicator. I calculated it with <strong>Excel</strong> and collated the results with <strong>TradingView</strong>. I know it's <strong>absolutely correct</strong> but, but I didn't find a way to calculate it with <strong>Pandas</strong>.</p>

<h1>Formula</h1>

<pre><code>              100
RSI = 100 - --------
             1 + RS

RS = Average Gain / Average Loss

The very first calculations for average gain and average loss are simple
14-period averages:

First Average Gain = Sum of Gains over the past 14 periods / 14.
First Average Loss = Sum of Losses over the past 14 periods / 14

The second, and subsequent, calculations are based on the prior averages
and the current gain loss:

Average Gain = [(previous Average Gain) x 13 + current Gain] / 14.
Average Loss = [(previous Average Loss) x 13 + current Loss] / 14.
</code></pre>

<h2>Expected Results</h2>

<pre><code>     close   change     gain     loss     avg_gian    avg_loss        rs  \
0    4724.89      NaN      NaN      NaN          NaN         NaN       NaN   
1    4378.51  -346.38     0.00   346.38          NaN         NaN       NaN   
2    6463.00  2084.49  2084.49     0.00          NaN         NaN       NaN   
3    9838.96  3375.96  3375.96     0.00          NaN         NaN       NaN   
4   13716.36  3877.40  3877.40     0.00          NaN         NaN       NaN   
5   10285.10 -3431.26     0.00  3431.26          NaN         NaN       NaN   
6   10326.76    41.66    41.66     0.00          NaN         NaN       NaN   
7    6923.91 -3402.85     0.00  3402.85          NaN         NaN       NaN   
8    9246.01  2322.10  2322.10     0.00          NaN         NaN       NaN   
9    7485.01 -1761.00     0.00  1761.00          NaN         NaN       NaN   
10   6390.07 -1094.94     0.00  1094.94          NaN         NaN       NaN   
11   7730.93  1340.86  1340.86     0.00          NaN         NaN       NaN   
12   7011.21  -719.72     0.00   719.72          NaN         NaN       NaN   
13   6626.57  -384.64     0.00   384.64          NaN         NaN       NaN   
14   6371.93  -254.64     0.00   254.64   931.605000  813.959286  1.144535   
15   4041.32 -2330.61     0.00  2330.61   865.061786  922.291480  0.937948   
16   3702.90  -338.42     0.00   338.42   803.271658  880.586374  0.912201   
17   3434.10  -268.80     0.00   268.80   745.895111  836.887347  0.891273   
18   3813.69   379.59   379.59     0.00   719.730460  777.109680  0.926163   
19   4103.95   290.26   290.26     0.00   689.053999  721.601845  0.954895   
20   5320.81  1216.86  1216.86     0.00   726.754428  670.058856  1.084613   
21   8555.00  3234.19  3234.19     0.00   905.856968  622.197509  1.455899   
22  10854.10  2299.10  2299.10     0.00  1005.374328  577.754830  1.740140   

       rsi_14  
0         NaN  
1         NaN  
2         NaN  
3         NaN  
4         NaN  
5         NaN  
6         NaN  
7         NaN  
8         NaN  
9         NaN  
10        NaN  
11        NaN  
12        NaN  
13        NaN  
14  53.369848  
15  48.399038  
16  47.704239  
17  47.125561  
18  48.083322  
19  48.846358  
20  52.029461  
21  59.281719  
22  63.505515  
</code></pre>

<h1>My Code</h1>

<h2>Import</h2>

<pre><code>import pandas as pd
import numpy as np
</code></pre>

<h2>Load data</h2>

<pre><code>df = pd.read_csv(""rsi_14_test_data.csv"")
close = df['close']
print(close)

0      4724.89
1      4378.51
2      6463.00
3      9838.96
4     13716.36
5     10285.10
6     10326.76
7      6923.91
8      9246.01
9      7485.01
10     6390.07
11     7730.93
12     7011.21
13     6626.57
14     6371.93
15     4041.32
16     3702.90
17     3434.10
18     3813.69
19     4103.95
20     5320.81
21     8555.00
22    10854.10
Name: close, dtype: float64
</code></pre>

<h2>Change</h2>

<p>Calculate change every row</p>

<pre><code>change = close.diff(1)
print(change)

0         NaN
1     -346.38
2     2084.49
3     3375.96
4     3877.40
5    -3431.26
6       41.66
7    -3402.85
8     2322.10
9    -1761.00
10   -1094.94
11    1340.86
12    -719.72
13    -384.64
14    -254.64
15   -2330.61
16    -338.42
17    -268.80
18     379.59
19     290.26
20    1216.86
21    3234.19
22    2299.10
Name: close, dtype: float64
</code></pre>

<h2>Gain and loss</h2>

<p>get gain and loss from change</p>

<pre><code>is_gain, is_loss = change &gt; 0, change &lt; 0
gain, loss = change, -change
gain[is_loss] = 0
loss[is_gain] = 0
​
gain.name = 'gain'
loss.name = 'loss'
print(loss)

0         NaN
1      346.38
2        0.00
3        0.00
4        0.00
5     3431.26
6        0.00
7     3402.85
8        0.00
9     1761.00
10    1094.94
11       0.00
12     719.72
13     384.64
14     254.64
15    2330.61
16     338.42
17     268.80
18       0.00
19       0.00
20       0.00
21       0.00
22       0.00
Name: loss, dtype: float64
</code></pre>

<h2>Calculate fist avg gain and loss</h2>

<p>Mean of n prior rows</p>

<pre><code>n = 14
avg_gain = change * np.nan
avg_loss = change * np.nan
​
avg_gain[n] = gain[:n+1].mean()
avg_loss[n] = loss[:n+1].mean()
​
avg_gain.name = 'avg_gain'
avg_loss.name = 'avg_loss'
​
avg_df = pd.concat([gain, loss, avg_gain, avg_loss], axis=1)
print(avg_df)

       gain     loss  avg_gain    avg_loss
0       NaN      NaN       NaN         NaN
1      0.00   346.38       NaN         NaN
2   2084.49     0.00       NaN         NaN
3   3375.96     0.00       NaN         NaN
4   3877.40     0.00       NaN         NaN
5      0.00  3431.26       NaN         NaN
6     41.66     0.00       NaN         NaN
7      0.00  3402.85       NaN         NaN
8   2322.10     0.00       NaN         NaN
9      0.00  1761.00       NaN         NaN
10     0.00  1094.94       NaN         NaN
11  1340.86     0.00       NaN         NaN
12     0.00   719.72       NaN         NaN
13     0.00   384.64       NaN         NaN
14     0.00   254.64   931.605  813.959286
15     0.00  2330.61       NaN         NaN
16     0.00   338.42       NaN         NaN
17     0.00   268.80       NaN         NaN
18   379.59     0.00       NaN         NaN
19   290.26     0.00       NaN         NaN
20  1216.86     0.00       NaN         NaN
21  3234.19     0.00       NaN         NaN
22  2299.10     0.00       NaN         NaN
</code></pre>

<p>The very first calculations for average gain and the average loss is ok but I don't know how to apply pandas.core.window.Rolling.apply for the second, and subsequent because they are in many rows and different columns.
It may be something like this:</p>

<pre><code>avg_gain[n] = (avg_gain[n-1]*13 + gain[n]) / 14
</code></pre>

<h2>My Wish - My Question</h2>

<ul>
<li>The best way to calculate and work with technical indicators?</li>
<li>Complete the above code in ""Pandas Style"".</li>
<li>Does the traditional way of coding with loops reduce performance compared to Pandas?</li>
</ul>
","python,pandas,dataframe",57006437,57037866,2
9,"How do you use EC.presence_of_element_located((By.ID, &quot;myDynamicElement&quot;)) except to specify class not ID","<p>I am trying to use Python to web scrape a website that loads it's HTML dynamically by using embedded javascript files that render the data as a Response into the HTML. Therefore, if I use BeautifulSoup alone, I will not be able to retrieve that data that I need as my program will scrape it before the Javascript loads the data. Due to this, I am integrating the selenium library into my code, to make my program wait until a certain element is found before it scrapes the website.</p>

<p>I had originally done this:</p>

<pre><code>element = WebDriverWait(driver,100).until(EC.presence_of_element_located((By.ID, ""tabla_evolucion"")))
</code></pre>

<p>But I want to specify a class instead by doing something like:</p>

<pre><code>element = WebDriverWait(driver,100).until(EC.presence_of_element_located((By.class, ""ng-binding ng-scope"")))  
</code></pre>

<p>Here is the rest of my code:</p>

<pre><code>driver_path = 'C:/webDrivers/chromedriver.exe'
driver = webdriver.Chrome(executable_path=driver_path)
driver.header_overrides = {'User-Agent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36'}
url = ""myurlthatIamscraping.com"" 
response = driver.get(url)
html = driver.page_source
characters = len(html)
element = WebDriverWait(driver,100).until(EC.presence_of_element_located((By.class, ""ng-binding ng-scope"")))

print(html)
print(characters)
time.sleep(10)
driver.quit()
</code></pre>

<p>It is not working for me and I can not find the right syntax anywhere.</p>
","python,selenium,selenium-webdriver,webdriverwait,expected-condition",57262217,57313803,1
